% Model,transient_real_pressure.mph,
% Version,COMSOL 6.3.0.290,
% Date,"Mar 20 2025, 17:02",
% Table,探针�?1 - ,
% 时间 (s),"总声�?(Pa), 点探�?1","总声�?(Pa), 点探�?2"
0.007983333,-1.07E-06,7.60E-06
0.008,-1.11E-06,7.33E-06
0.008016667,-1.15E-06,7.05E-06
0.008033333,-1.18E-06,6.77E-06
0.00805,-1.21E-06,6.50E-06
0.008066667,-1.24E-06,6.22E-06
0.008083333,-1.27E-06,5.94E-06
0.0081,-1.30E-06,5.66E-06
0.008116667,-1.32E-06,5.36E-06
0.008133333,-1.35E-06,5.06E-06
0.00815,-1.37E-06,4.76E-06
0.008166667,-1.38E-06,4.46E-06
0.008183333,-1.40E-06,4.16E-06
0.0082,-1.42E-06,3.85E-06
0.008216667,-1.43E-06,3.53E-06
0.008233333,-1.44E-06,3.21E-06
0.00825,-1.44E-06,2.88E-06
0.008266667,-1.45E-06,2.55E-06
0.008283333,-1.45E-06,2.23E-06
0.0083,-1.45E-06,1.91E-06
0.008316667,-1.45E-06,1.59E-06
0.008333333,-1.45E-06,1.26E-06
0.00835,-1.44E-06,9.33E-07
0.008366667,-1.43E-06,6.00E-07
0.008383333,-1.42E-06,2.65E-07
0.0084,-1.40E-06,-7.00E-08
0.008416667,-1.39E-06,-4.04E-07
0.008433333,-1.37E-06,-7.38E-07
0.00845,-1.35E-06,-1.07E-06
0.008466667,-1.33E-06,-1.41E-06
0.008483333,-1.30E-06,-1.74E-06
0.0085,-1.28E-06,-2.07E-06
0.008516667,-1.25E-06,-2.40E-06
0.008533333,-1.22E-06,-2.73E-06
0.00855,-1.19E-06,-3.05E-06
0.008566667,-1.15E-06,-3.37E-06
0.008583333,-1.12E-06,-3.68E-06
0.0086,-1.09E-06,-3.98E-06
0.008616667,-1.05E-06,-4.29E-06
0.008633333,-1.01E-06,-4.60E-06
0.00865,-9.76E-07,-4.91E-06
0.008666667,-9.37E-07,-5.21E-06
0.008683333,-8.97E-07,-5.50E-06
0.0087,-8.55E-07,-5.78E-06
0.008716667,-8.12E-07,-6.06E-06
0.008733333,-7.68E-07,-6.33E-06
0.00875,-7.22E-07,-6.61E-06
0.008766667,-6.74E-07,-6.87E-06
0.008783333,-6.25E-07,-7.13E-06
0.0088,-5.74E-07,-7.37E-06
0.008816667,-5.22E-07,-7.61E-06
0.008833333,-4.67E-07,-7.84E-06
0.00885,-4.11E-07,-8.06E-06
0.008866667,-3.54E-07,-8.28E-06
0.008883333,-2.96E-07,-8.49E-06
0.0089,-2.35E-07,-8.69E-06
0.008916667,-1.73E-07,-8.88E-06
0.008933333,-1.09E-07,-9.06E-06
0.00895,-4.40E-08,-9.23E-06
0.008966667,2.23E-08,-9.39E-06
0.008983333,8.92E-08,-9.53E-06
0.009,1.57E-07,-9.67E-06
0.009016667,2.25E-07,-9.80E-06
0.009033333,2.95E-07,-9.92E-06
0.00905,3.66E-07,-1.00E-05
0.009066667,4.36E-07,-1.01E-05
0.009083333,5.07E-07,-1.02E-05
0.0091,5.77E-07,-1.02E-05
0.009116667,6.46E-07,-1.03E-05
0.009133333,7.16E-07,-1.04E-05
0.00915,7.85E-07,-1.04E-05
0.009166667,8.55E-07,-1.04E-05
0.009183333,9.24E-07,-1.05E-05
0.0092,9.94E-07,-1.05E-05
0.009216667,1.06E-06,-1.05E-05
